Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='resnet20_1w1a', batch_size=128, epochs=700, evaluate=False, lr=0.1, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=8, weight_decay=0.0001, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
166	0.727	4.764	77.332	30.799
167	0.727	0.682	77.302	76.983
168	0.727	0.708	77.240	75.180
169	0.727	0.724	77.484	75.080
170	0.734	0.808	77.173	71.605
171	0.728	0.752	77.296	74.439
172	0.728	0.796	77.208	71.875
173	0.725	0.801	77.546	72.666
174	0.729	0.710	77.382	75.571
175	0.730	0.828	77.242	71.635
176	0.728	0.806	77.302	71.975
177	0.728	0.854	77.506	70.633
178	0.729	0.698	77.360	75.401
179	0.725	0.820	77.538	71.484
180	0.724	0.706	77.390	75.671
181	0.724	0.842	77.378	71.464
182	0.726	0.804	77.586	72.386
183	0.724	0.895	77.344	71.234
184	0.721	0.829	77.512	71.374
185	0.720	0.814	77.718	72.346
186	0.725	0.795	77.476	72.656
187	0.725	0.760	77.496	73.407
188	0.726	0.846	77.344	70.433
189	0.728	0.737	77.350	74.609
190	0.723	0.757	77.536	74.048
191	0.717	0.724	77.973	74.609
192	0.724	0.920	77.652	67.969
193	0.721	0.798	77.554	71.735
194	0.721	0.852	77.692	71.615
195	0.724	0.886	77.500	70.483
196	0.712	0.744	77.831	74.840
197	0.723	0.784	77.646	72.937
198	0.714	0.703	77.877	76.042
199	0.721	0.797	77.474	72.716
200	0.723	0.805	77.586	72.837
201	0.718	0.786	77.708	72.786
202	0.726	0.821	77.404	72.596
203	0.720	0.733	77.688	74.790
204	0.720	0.789	77.586	72.556
205	0.718	0.762	77.829	73.678
206	0.711	0.839	77.991	70.182
207	0.720	0.817	77.704	72.155
208	0.710	0.694	78.401	75.491
209	0.709	0.774	77.897	73.588
210	0.715	0.744	77.929	74.619
211	0.714	0.708	78.061	75.441
212	0.719	0.793	77.698	72.907
213	0.716	0.767	77.923	74.008
214	0.715	0.710	77.885	75.431
215	0.710	0.784	78.169	72.065
216	0.710	0.749	78.089	73.998
217	0.711	0.785	78.001	72.796
218	0.714	0.862	77.758	70.172
219	0.705	0.682	78.257	76.332
220	0.713	0.745	77.867	74.609
221	0.710	0.814	78.051	73.548
222	0.710	0.917	78.017	69.932
223	0.715	0.812	78.001	71.705
224	0.715	0.721	77.819	75.561
225	0.714	0.693	77.873	75.801
226	0.704	0.728	78.375	75.160
227	0.711	0.683	77.905	76.342
228	0.711	0.765	78.203	74.159
229	0.710	0.679	77.857	75.992
230	0.708	0.772	78.117	73.758
231	0.715	0.732	77.802	74.830
232	0.719	0.705	77.678	75.801
233	0.709	0.749	78.115	74.109
234	0.719	0.735	77.674	74.559
235	0.714	0.687	78.069	76.142
236	0.705	0.697	78.321	76.232
237	0.715	0.794	77.744	72.827
238	0.705	0.665	78.315	77.254
239	0.706	0.701	78.087	76.032
240	0.713	0.891	78.015	68.950
241	0.707	0.815	78.149	72.596
242	0.707	0.747	78.105	74.309
243	0.702	0.808	78.253	72.256
244	0.701	0.679	78.175	76.472
245	0.703	0.747	78.305	74.179
246	0.704	0.731	78.117	75.481
247	0.707	0.725	78.091	74.900
248	0.708	0.839	78.085	71.865
249	0.701	0.792	78.417	73.177
