Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='ResNet18', batch_size=128, epochs=800, evaluate=False, lr=0.3, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=16, weight_decay=1e-05, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
166	0.210	0.381	94.317	88.271
167	0.207	0.413	94.301	87.510
168	0.206	0.383	94.433	88.041
169	0.210	0.401	94.253	87.730
170	0.198	0.385	94.688	87.941
171	0.201	0.374	94.515	88.722
172	0.197	0.405	94.589	87.981
173	0.203	0.381	94.477	88.171
174	0.198	0.417	94.675	87.620
175	0.197	0.474	94.565	86.228
176	0.203	0.340	94.547	89.503
177	0.198	0.372	94.549	88.712
178	0.208	0.355	94.257	88.742
179	0.200	0.393	94.463	87.700
180	0.202	0.383	94.417	87.700
181	0.197	0.395	94.543	88.101
182	0.196	0.382	94.698	88.442
183	0.197	0.374	94.623	88.602
184	0.193	0.412	94.836	87.200
185	0.204	0.387	94.299	88.171
186	0.191	0.360	94.790	88.762
187	0.193	0.401	94.866	87.891
188	0.199	0.387	94.473	88.161
189	0.194	0.406	94.746	87.490
190	0.186	0.379	95.000	88.532
191	0.188	0.372	94.902	88.712
192	0.195	0.411	94.657	87.800
193	0.187	0.400	94.968	88.031
194	0.184	0.406	95.008	87.790
195	0.192	0.403	94.804	87.630
196	0.192	0.413	94.832	87.280
197	0.190	0.392	94.760	87.941
198	0.185	0.368	95.082	88.622
199	0.194	0.418	94.692	87.660
200	0.185	0.367	94.918	88.602
201	0.186	0.390	94.906	88.201
202	0.187	0.370	94.940	88.942
203	0.184	0.420	94.944	87.260
204	0.180	0.356	95.136	89.062
205	0.184	0.389	94.972	88.642
206	0.182	0.429	95.158	87.370
207	0.180	0.476	95.222	85.507
208	0.181	0.368	95.126	88.291
209	0.183	0.392	95.008	88.201
210	0.188	0.399	94.828	88.321
211	0.183	0.376	94.986	88.462
212	0.177	0.344	95.236	89.383
213	0.177	0.409	95.262	88.041
214	0.176	0.432	95.190	87.220
215	0.180	0.394	95.190	88.121
216	0.181	0.409	95.166	88.081
217	0.183	0.403	95.086	87.961
218	0.175	0.414	95.272	87.690
219	0.178	0.389	95.164	88.452
220	0.175	0.414	95.272	87.861
221	0.179	0.394	95.142	88.371
222	0.172	0.419	95.399	87.360
223	0.175	0.373	95.276	88.562
224	0.184	0.409	94.926	87.760
225	0.176	0.435	95.196	87.190
226	0.178	0.440	95.148	87.190
227	0.179	0.390	95.236	88.111
228	0.170	0.390	95.463	87.941
229	0.176	0.379	95.272	88.552
230	0.166	0.381	95.563	88.742
231	0.176	0.402	95.286	87.871
232	0.171	0.376	95.447	88.952
233	0.171	0.373	95.425	88.532
234	0.164	0.400	95.643	88.061
235	0.176	0.435	95.274	86.919
236	0.171	0.428	95.461	87.129
237	0.172	0.428	95.439	87.750
238	0.168	0.388	95.519	88.281
239	0.173	0.462	95.323	87.089
240	0.171	0.467	95.397	86.649
241	0.171	0.378	95.345	88.722
242	0.167	0.364	95.513	89.083
243	0.169	0.364	95.447	88.822
244	0.166	0.425	95.505	87.790
245	0.168	0.402	95.443	88.622
246	0.169	0.420	95.523	87.540
247	0.162	0.394	95.675	88.221
248	0.168	0.393	95.517	88.241
249	0.165	0.397	95.593	87.750
250	0.171	0.434	95.363	87.019
251	0.161	0.436	95.757	87.240
252	0.168	0.352	95.501	89.073
253	0.168	0.390	95.447	87.941
254	0.159	0.445	95.833	87.350
255	0.160	0.385	95.875	88.532
256	0.158	0.395	95.791	88.612
257	0.164	0.372	95.589	88.882
258	0.166	0.413	95.577	88.241
259	0.158	0.383	95.799	88.682
260	0.156	0.410	95.805	87.921
261	0.158	0.372	95.785	88.932
262	0.159	0.423	95.873	87.650
263	0.156	0.363	95.895	89.123
264	0.158	0.397	95.863	88.001
265	0.157	0.446	95.857	87.009
266	0.159	0.389	95.735	88.281
267	0.153	0.400	96.044	88.692
268	0.154	0.357	95.851	89.363
269	0.156	0.413	95.885	87.720
270	0.153	0.372	95.907	88.912
271	0.159	0.423	95.767	87.861
272	0.160	0.366	95.795	89.093
273	0.156	0.461	95.831	86.168
274	0.160	0.406	95.847	87.740
275	0.151	0.473	95.982	86.548
276	0.157	0.405	95.823	88.472
277	0.152	0.357	96.000	89.253
278	0.151	0.418	95.984	87.861
279	0.158	0.412	95.791	87.991
280	0.155	0.427	95.968	87.650
281	0.153	0.352	95.980	89.744
282	0.151	0.433	95.952	87.129
283	0.152	0.384	96.014	88.582
284	0.150	0.379	96.016	88.572
285	0.150	0.447	96.134	87.470
286	0.153	0.423	95.887	87.700
287	0.151	0.376	96.054	88.822
288	0.145	0.365	96.236	89.213
289	0.150	0.397	96.036	88.552
290	0.144	0.424	96.252	87.750
291	0.150	0.372	96.008	88.942
292	0.151	0.373	96.006	88.892
293	0.150	0.384	96.034	88.502
294	0.151	0.369	96.012	89.113
295	0.154	0.396	95.903	88.442
296	0.151	0.414	95.954	88.011
297	0.148	0.406	96.118	88.592
298	0.142	0.388	96.296	88.882
299	0.144	0.412	96.236	88.381
300	0.143	0.352	96.216	89.513
301	0.141	0.351	96.328	89.523
302	0.143	0.368	96.266	89.153
303	0.150	0.364	96.040	88.902
304	0.140	0.379	96.336	89.243
305	0.143	0.382	96.296	88.512
306	0.141	0.370	96.310	89.032
307	0.141	0.408	96.272	88.111
308	0.143	0.364	96.256	89.263
309	0.139	0.354	96.308	89.283
310	0.138	0.382	96.396	89.113
311	0.139	0.436	96.428	87.530
312	0.141	0.364	96.294	89.062
313	0.137	0.400	96.360	88.442
314	0.145	0.426	96.232	87.841
315	0.133	0.370	96.450	89.513
316	0.134	0.391	96.498	88.702
317	0.143	0.386	96.238	88.982
318	0.136	0.370	96.540	89.373
319	0.135	0.356	96.500	89.443
320	0.139	0.344	96.370	89.714
321	0.135	0.364	96.565	89.313
322	0.133	0.368	96.623	89.062
323	0.139	0.408	96.252	88.512
324	0.129	0.401	96.683	88.622
325	0.135	0.392	96.520	88.812
326	0.132	0.393	96.589	88.512
327	0.128	0.391	96.735	88.762
328	0.135	0.409	96.476	88.582
329	0.139	0.406	96.344	88.732
330	0.133	0.420	96.544	88.361
331	0.128	0.405	96.695	88.371
332	0.134	0.391	96.601	88.562
333	0.133	0.360	96.583	89.343
334	0.130	0.363	96.653	89.323
335	0.128	0.364	96.803	88.992
336	0.130	0.352	96.629	89.543
337	0.135	0.372	96.466	89.032
338	0.130	0.377	96.671	89.293
339	0.123	0.353	96.793	89.784
340	0.132	0.388	96.623	89.103
341	0.132	0.356	96.446	89.563
342	0.125	0.343	96.813	90.154
343	0.121	0.384	96.905	89.163
344	0.124	0.363	96.829	89.193
345	0.126	0.360	96.795	89.333
346	0.138	0.366	96.370	89.483
347	0.123	0.368	96.843	89.042
348	0.130	0.386	96.667	89.133
349	0.127	0.349	96.743	89.964
350	0.119	0.380	96.993	88.932
351	0.120	0.360	96.871	89.293
352	0.126	0.401	96.767	88.662
353	0.129	0.421	96.579	88.321
354	0.127	0.359	96.685	89.864
355	0.122	0.383	96.871	88.762
356	0.119	0.359	97.031	89.623
357	0.119	0.337	96.983	90.054
358	0.126	0.374	96.727	88.942
359	0.124	0.426	96.797	88.101
360	0.117	0.400	97.043	88.281
361	0.118	0.345	96.985	90.154
362	0.120	0.388	96.951	89.022
363	0.116	0.384	97.107	89.203
364	0.120	0.410	96.981	88.472
365	0.117	0.377	97.097	89.203
366	0.121	0.373	97.019	89.153
367	0.118	0.417	96.967	88.351
368	0.118	0.349	97.035	89.914
369	0.117	0.381	97.039	88.892
370	0.111	0.351	97.226	89.994
371	0.123	0.384	96.877	89.052
372	0.119	0.357	96.963	89.613
373	0.115	0.388	97.089	89.123
374	0.123	0.384	96.773	88.942
375	0.113	0.367	97.047	89.553
376	0.118	0.370	96.981	89.694
377	0.112	0.394	97.133	88.732
378	0.115	0.419	97.161	88.492
379	0.113	0.346	97.157	90.154
380	0.116	0.356	97.009	89.523
381	0.113	0.363	97.167	89.784
382	0.108	0.358	97.284	89.493
383	0.114	0.384	97.169	89.002
384	0.113	0.364	97.137	89.423
385	0.110	0.378	97.244	89.012
386	0.110	0.350	97.278	90.034
387	0.111	0.386	97.238	88.842
388	0.109	0.354	97.308	89.954
389	0.105	0.349	97.362	89.533
390	0.114	0.385	97.139	89.273
391	0.108	0.338	97.314	90.294
392	0.109	0.362	97.278	89.293
393	0.104	0.439	97.410	87.881
394	0.107	0.344	97.324	89.884
395	0.106	0.384	97.336	89.683
396	0.105	0.432	97.416	88.381
397	0.105	0.392	97.400	88.982
398	0.112	0.344	97.169	89.844
399	0.100	0.366	97.444	89.653
400	0.105	0.382	97.424	89.183
401	0.102	0.402	97.454	88.812
402	0.104	0.367	97.372	89.563
403	0.106	0.377	97.372	89.513
404	0.103	0.382	97.456	89.423
405	0.104	0.341	97.458	90.194
406	0.100	0.376	97.498	89.413
407	0.100	0.340	97.578	90.495
408	0.102	0.372	97.470	89.333
409	0.096	0.348	97.660	90.254
410	0.102	0.399	97.482	89.283
411	0.100	0.439	97.520	87.981
412	0.099	0.362	97.550	89.794
413	0.101	0.386	97.492	89.203
414	0.098	0.338	97.574	90.415
415	0.107	0.349	97.306	90.034
416	0.103	0.373	97.484	89.533
417	0.100	0.350	97.506	90.134
418	0.096	0.340	97.674	90.325
419	0.097	0.376	97.564	89.183
420	0.098	0.347	97.592	90.194
421	0.097	0.380	97.678	89.443
422	0.102	0.375	97.502	89.613
423	0.097	0.368	97.586	89.874
424	0.094	0.360	97.672	89.984
425	0.089	0.416	97.875	88.552
426	0.095	0.429	97.666	88.411
427	0.094	0.340	97.690	90.425
428	0.091	0.331	97.823	90.565
429	0.092	0.361	97.766	90.174
430	0.094	0.374	97.764	89.844
431	0.092	0.348	97.750	90.495
432	0.089	0.399	97.855	89.153
433	0.086	0.359	97.935	90.254
434	0.092	0.360	97.720	90.034
435	0.090	0.347	97.750	90.315
436	0.089	0.351	97.855	90.415
437	0.091	0.407	97.780	89.263
438	0.093	0.338	97.732	90.365
439	0.092	0.360	97.758	90.004
440	0.094	0.438	97.680	88.652
441	0.093	0.358	97.770	89.934
442	0.090	0.346	97.869	90.244
443	0.087	0.328	97.903	90.956
444	0.083	0.364	97.955	90.054
445	0.088	0.351	97.881	90.355
446	0.092	0.382	97.780	89.143
447	0.086	0.360	97.821	90.204
448	0.090	0.351	97.776	90.114
449	0.083	0.338	98.003	90.465
450	0.088	0.348	97.841	90.204
451	0.086	0.348	97.905	90.365
452	0.083	0.373	98.011	89.834
453	0.084	0.383	97.997	89.503
454	0.085	0.385	97.915	89.183
455	0.082	0.381	98.093	89.694
456	0.081	0.370	98.073	90.054
457	0.079	0.355	98.151	90.365
458	0.080	0.357	98.117	90.425
459	0.079	0.358	98.139	90.184
460	0.080	0.386	98.075	89.954
461	0.084	0.360	98.007	90.244
462	0.081	0.352	98.095	90.345
463	0.081	0.343	98.053	90.605
464	0.080	0.344	98.131	90.625
465	0.078	0.327	98.205	91.166
466	0.072	0.328	98.379	90.705
467	0.074	0.334	98.377	90.495
468	0.072	0.341	98.379	90.595
469	0.075	0.344	98.219	90.665
470	0.077	0.359	98.213	90.164
471	0.075	0.347	98.219	90.625
472	0.075	0.334	98.257	90.875
473	0.070	0.363	98.433	90.244
474	0.071	0.332	98.329	90.585
475	0.074	0.333	98.295	90.925
476	0.072	0.341	98.343	91.056
477	0.072	0.340	98.351	90.415
478	0.072	0.349	98.381	90.425
479	0.069	0.346	98.421	90.946
480	0.075	0.345	98.265	90.795
481	0.070	0.342	98.472	90.635
482	0.072	0.375	98.351	89.884
483	0.068	0.348	98.407	90.685
484	0.070	0.372	98.365	90.214
485	0.071	0.341	98.367	90.795
486	0.071	0.368	98.371	90.325
487	0.068	0.361	98.397	90.194
488	0.068	0.339	98.448	90.815
489	0.066	0.389	98.500	89.533
490	0.065	0.359	98.572	90.124
491	0.064	0.334	98.562	91.036
492	0.070	0.320	98.383	91.086
493	0.066	0.369	98.514	90.114
494	0.058	0.363	98.784	90.345
495	0.065	0.350	98.506	90.865
496	0.061	0.343	98.630	90.835
497	0.059	0.355	98.698	90.635
498	0.061	0.321	98.646	91.326
499	0.059	0.348	98.712	90.915
500	0.061	0.333	98.602	91.116
501	0.062	0.345	98.624	91.006
502	0.062	0.350	98.662	90.956
503	0.062	0.382	98.536	89.734
504	0.060	0.379	98.666	90.144
505	0.056	0.337	98.808	90.885
506	0.061	0.325	98.612	91.396
507	0.056	0.345	98.768	91.136
508	0.056	0.351	98.822	90.505
509	0.055	0.365	98.760	90.485
510	0.056	0.335	98.786	91.036
511	0.055	0.334	98.848	91.216
512	0.054	0.360	98.812	90.765
513	0.055	0.331	98.792	91.456
514	0.051	0.343	98.936	91.076
515	0.051	0.327	98.974	91.506
516	0.050	0.331	98.946	91.386
517	0.053	0.358	98.862	90.745
518	0.055	0.352	98.838	90.705
519	0.052	0.343	98.942	90.845
520	0.048	0.352	98.988	90.845
521	0.049	0.335	98.976	91.466
522	0.049	0.324	98.968	91.697
523	0.047	0.341	99.089	91.286
524	0.048	0.343	99.002	91.066
525	0.049	0.355	98.972	90.825
526	0.045	0.332	99.105	91.376
527	0.049	0.349	99.004	91.146
528	0.049	0.352	98.992	90.966
529	0.047	0.358	99.056	90.765
530	0.047	0.349	99.032	91.116
531	0.045	0.321	99.052	91.406
532	0.044	0.337	99.109	91.246
533	0.046	0.331	99.040	91.296
534	0.045	0.330	99.135	91.526
535	0.043	0.339	99.167	91.386
536	0.041	0.348	99.213	90.825
537	0.042	0.341	99.171	91.536
538	0.041	0.338	99.199	91.536
539	0.040	0.351	99.249	90.795
540	0.040	0.337	99.185	91.496
541	0.039	0.342	99.277	91.296
542	0.042	0.328	99.199	91.747
543	0.037	0.321	99.381	91.937
544	0.038	0.324	99.279	91.486
545	0.037	0.327	99.309	91.546
546	0.036	0.356	99.293	91.136
547	0.038	0.337	99.285	91.587
548	0.036	0.323	99.357	91.937
549	0.033	0.329	99.437	91.536
550	0.034	0.323	99.399	91.977
551	0.036	0.330	99.289	91.677
552	0.035	0.346	99.353	91.617
553	0.032	0.332	99.441	91.827
554	0.034	0.345	99.369	91.446
555	0.033	0.331	99.439	91.837
556	0.033	0.335	99.399	91.617
557	0.032	0.346	99.425	91.707
558	0.031	0.351	99.433	91.286
559	0.031	0.329	99.453	92.037
560	0.030	0.319	99.495	91.937
561	0.032	0.336	99.425	91.657
562	0.029	0.326	99.501	92.027
563	0.030	0.337	99.481	91.717
564	0.029	0.331	99.481	91.927
565	0.028	0.339	99.493	91.757
566	0.028	0.330	99.549	92.007
567	0.026	0.325	99.597	92.298
568	0.027	0.333	99.581	91.997
569	0.025	0.331	99.637	91.677
570	0.024	0.336	99.617	91.787
571	0.026	0.327	99.587	91.837
572	0.025	0.319	99.629	92.077
573	0.025	0.341	99.619	91.647
574	0.024	0.338	99.647	91.827
575	0.026	0.335	99.553	91.847
576	0.024	0.347	99.595	92.127
577	0.024	0.324	99.655	92.388
578	0.024	0.346	99.629	92.017
579	0.023	0.326	99.667	92.117
580	0.026	0.324	99.585	92.157
581	0.023	0.317	99.659	92.268
582	0.023	0.336	99.683	92.198
583	0.022	0.338	99.663	92.228
584	0.022	0.339	99.686	91.997
585	0.022	0.340	99.675	92.167
586	0.022	0.333	99.665	92.067
587	0.021	0.336	99.692	92.107
588	0.021	0.330	99.716	92.628
589	0.021	0.334	99.692	92.127
590	0.019	0.330	99.768	92.198
591	0.019	0.315	99.770	92.548
592	0.018	0.318	99.806	92.648
593	0.017	0.333	99.782	92.268
594	0.019	0.323	99.722	92.498
595	0.018	0.322	99.774	92.468
596	0.018	0.329	99.756	92.328
597	0.019	0.328	99.748	92.408
598	0.018	0.326	99.746	92.398
599	0.018	0.327	99.752	92.558
600	0.017	0.331	99.788	92.478
601	0.016	0.334	99.800	92.137
602	0.018	0.326	99.760	92.328
603	0.017	0.339	99.794	92.137
604	0.017	0.336	99.794	92.368
605	0.017	0.347	99.784	92.137
606	0.017	0.330	99.772	92.298
607	0.019	0.333	99.718	92.468
608	0.019	0.358	99.720	91.847
609	0.019	0.332	99.720	92.388
610	0.017	0.345	99.804	92.127
611	0.019	0.348	99.748	92.238
612	0.020	0.330	99.696	92.308
613	0.020	0.347	99.722	92.167
614	0.021	0.342	99.690	92.097
615	0.020	0.348	99.712	92.007
616	0.021	0.332	99.669	92.338
617	0.021	0.345	99.653	91.977
618	0.021	0.350	99.690	91.807
619	0.022	0.342	99.641	92.188
620	0.021	0.335	99.702	92.027
621	0.025	0.339	99.579	91.807
622	0.023	0.347	99.641	92.067
623	0.022	0.354	99.643	92.017
624	0.022	0.343	99.655	92.087
625	0.024	0.348	99.597	91.817
626	0.027	0.350	99.521	91.847
627	0.026	0.374	99.557	91.166
628	0.027	0.356	99.513	91.556
629	0.027	0.352	99.495	91.657
630	0.026	0.350	99.519	91.577
631	0.029	0.341	99.485	92.007
632	0.031	0.329	99.389	91.987
633	0.026	0.341	99.547	91.907
634	0.028	0.362	99.509	91.306
635	0.029	0.360	99.523	91.436
636	0.028	0.356	99.501	91.546
637	0.027	0.362	99.503	91.396
638	0.030	0.340	99.427	91.677
639	0.030	0.358	99.461	91.496
640	0.030	0.335	99.455	91.807
641	0.033	0.380	99.359	91.036
642	0.032	0.363	99.377	91.296
643	0.033	0.373	99.345	91.016
644	0.035	0.349	99.317	91.456
645	0.034	0.358	99.351	91.466
646	0.034	0.351	99.315	91.416
647	0.035	0.343	99.297	91.627
648	0.033	0.376	99.357	91.076
649	0.030	0.346	99.419	91.807
650	0.034	0.350	99.317	91.687
651	0.032	0.347	99.423	91.597
652	0.036	0.371	99.251	91.006
653	0.039	0.335	99.195	91.907
654	0.033	0.354	99.353	91.366
655	0.035	0.391	99.281	90.815
656	0.036	0.360	99.265	91.386
657	0.034	0.350	99.367	91.436
658	0.035	0.331	99.351	91.577
659	0.030	0.357	99.427	91.556
660	0.030	0.336	99.459	91.867
